IRN,School District,County,Students Disability,Students EL,Students EconDis,Students White,Students Black,Students Latino,Students Asian,Students NativeAm,Students NatHaw,Students Multi,Total Students,PI,Property Tax per Student 2018,Property Tax per Student Mean
44651,Port Clinton City,Ottawa,309,0,         718,        1319,          31,         212,0,0,0,         112,1681,90.492,404453.8041655231,345799.21545600775
44669,Portsmouth City,Scioto,395,          13,        1656,        1245,         109,         102,0,0,           0,         221,1686,74.8,91483.56381937243,84095.4120247921
44677,Princeton City,Hamilton,842,        1222,        3694,        1292,        2437,        1605,         209,0,          54,         358,5964,78.303,259191.08282386727,270232.34698805166
44685,Ravenna City,Portage,505,          12,        2252,        1653,         292,          69,0,0,0,         265,2286,77.89,121888.41054797528,110358.08445883905
44693,Reading Community City,Hamilton,216,          38,         963,        1240,         141,          55,          17,0,0,          82,1537,86.263,135329.0127537567,131564.65784144885
44701,Rocky River City,Cuyahoga,286,          85,         297,        2411,          38,         102,          62,0,           0,         101,2718,109.385,340277.47890530823,286323.9279210709
44719,St Bernard-Elmwood Place City,Hamilton,173,          25,         800,         436,         306,          49,0,0,0,         106,907,74.694,126576.19424849423,114490.82141737301
44727,St Marys City,Auglaize,304,0,        1024,        1953,          17,          38,0,0,0,          83,2104,92.363,138966.8199463112,125167.8249473088
44735,Salem City,Columbiana,258,         105,        1069,        1834,          12,         154,          11,           0,           0,          72,2083,88.828,140387.3410909476,135252.7651729446
44743,Sandusky City,Erie,498,          13,        3180,        1223,        1127,         192,0,0,           0,         640,3193,72.14200000000001,122722.13108289299,121552.14355124225
44750,Shaker Heights City,Cuyahoga,720,          84,        1396,        2012,        2142,         162,         180,0,0,         400,4899,89.071,177691.83794183139,155954.4158995443
44768,Sheffield-Sheffield Lake City,Lorain,200,          10,         716,        1342,          34,         183,          25,0,0,          59,1653,90.882,215798.56672831933,184761.88497007365
44776,Shelby City,Richland,287,0,         934,        1814,          10,          45,0,0,0,          41,1918,93.143,120905.23952248943,106213.94579090683
44784,Sidney City,Shelby,574,          64,        1703,        2525,         139,         104,          47,           0,0,         359,3177,83.159,122961.5652583747,114816.13266423768
44792,South Euclid-Lyndhurst City,Cuyahoga,532,          61,        1553,         549,        2433,         109,          52,0,0,         221,3369,76.26100000000001,220370.23134122833,205073.19345112555
44800,South-Western City,Franklin,3665,        2968,       12809,       13427,        3443,        3817,         625,          23,0,        1410,22749,82.47500000000001,115299.0563009833,108974.05985857715
44818,Springfield City School District,Clark,1369,         264,        7555,        4039,        1800,         569,          43,          11,          11,        1082,7555,65.12,69632.788563751,67785.8770922646
44826,Steubenville City,Jefferson,334,0,        2547,        1538,         637,          76,          15,0,0,         279,2551,103.91300000000001,92125.53516900491,85818.79690368864
44834,Stow-Munroe Falls City School District,Summit,643,         104,        1329,        4509,         254,         101,         144,0,0,         256,5270,89.646,196822.54587569882,181567.90438385072
44842,Strongsville City,Cuyahoga,580,         194,        1022,        4466,         153,         293,         365,0,0,         211,5500,99.933,295643.46232112555,251601.37511989308
44859,Struthers City,Mahoning,219,          18,        1350,        1401,         118,         135,0,0,0,         122,1788,82.84,79341.0826574858,77063.06508469227
44867,Sycamore Community City,Hamilton,521,         265,         681,        3462,         422,         359,         890,0,0,         359,5497,105.73100000000001,339066.28480450914,320759.24064797343
44875,Sylvania Schools,Lucas,937,         211,        1468,        6322,         379,         401,         343,0,0,         323,7777,95.98400000000001,196423.60009540286,181053.34903473174
44883,Tallmadge City,Summit,299,          67,         421,        2061,         109,          58,          58,0,0,         117,2413,91.82600000000001,169208.36948619937,153937.8371012284
44891,Tiffin City,Seneca,405,          28,        1032,        2358,          31,         120,          33,           0,0,         105,2648,87.71300000000001,135373.16068068854,121803.51536326396
44909,Toledo City,Lucas,4851,         349,       19739,        7725,       10307,        2689,          98,          25,          15,        2465,23324,62.794000000000004,74484.5992645356,73268.63448681835
44917,Toronto City,Jefferson,105,           0,         479,         813,          10,0,0,0,0,          48,891,85.239,113146.25854469955,91983.62164697982
44925,Troy City,Miami,460,          82,        1342,        3392,         180,         145,         133,0,          13,         281,4147,91.236,162520.30556511457,145407.14923987057
44933,Upper Arlington City,Franklin,907,         118,         144,        5111,          60,         189,         389,           0,0,         382,6134,101.41600000000001,323113.8858324164,293660.7771950334
44941,Urbana City,Champaign,363,0,         950,        1691,          66,          61,          12,0,0,         169,2002,77.691,132023.09077675338,118295.28490681105
44958,Vandalia-Butler City,Montgomery,432,          27,         943,        2317,         255,          82,          49,0,0,         223,2930,90.784,208571.56351901032,190350.3418368561
